grid_ref,primary_type,modifiers
A5,crimp,large
A9,pinch,large;sloping
A10,crimp,sharp;small
A11,crimp,sharp;small
A12,pinch,large
A13,pinch,small
A14,jug,sloping;large
A15,pocket,incut
A16,crimp,sharp;positive
A18,sloper,large;sloping
B3,jug,rounded;positive
B4,crimp,rounded;small
B6,pocket,large;positive
B7,crimp,sharp;small
B8,crimp,sharp;large
B9,pinch,sloping;large
B10,pocket,large;positive
B11,jug,positive;large
B12,pocket,small
B13,jug,large
B15,crimp,positive
B16,pinch,large
B18,pocket,large;positive
C5,crimp,large
C6,pocket,sloping
C7,pinch,incut
C8,pinch,sloping;large
C9,crimp,small
C10,pinch,large
C11,pocket,large;sloping
C12,crimp,
C13,jug,large;sloping
C14,crimp,sharp;positive
C15,crimp,positive;incut
C16,pocket,rounded
C18,pinch,large;positive
D3,crimp,
D5,pocket,sloping;rounded
D6,crimp,sharp
D7,pocket,small
D8,pinch,small
D9,jug,small
D10,pinch,incut
D11,pinch,incut
D12,jug,large
D13,crimp,rounded;sloping
D14,pocket,rounded
D15,jug,large
D16,crimp,small;sharp
D17,jug,small;sloping
D18,jug,positive;large
E6,crimp,sloping
E7,pinch,large
E8,jug,small
E9,pinch,
E10,jug,small;sloping
E11,crimp,sloping
E12,crimp,sharp;positive
E13,jug,small;positive
E14,pinch,sharp;large
E15,jug,positive
E16,pinch,positive
E18,jug,sloping;large
F5,jug,large
F6,crimp,rounded;sharp
F7,crimp,small;sharp
F8,crimp,small;sharp
F9,crimp,positive
F10,crimp,sharp;large
F11,pinch,large
F12,sloper,incut
F13,crimp,positive
F14,jug,incut
F15,crimp,small;sharp
F16,pocket,rounded
G2,jug,positive
G4,jug,sloping;rounded
G6,crimp,
G7,crimp,rounded;small
G8,jug,sloping;large
G9,jug,positive
G10,pocket,
G11,crimp,
G12,crimp,
G13,jug,sloping;large
G14,sloper,large
G15,pinch,
G16,crimp,small
G17,jug,positive
G18,jug,large
H5,pinch,
H7,crimp,small
H8,pinch,large
H9,crimp,large;sloping
H10,jug,
H11,crimp,large
H12,crimp,
H13,pocket,rounded;small
H14,crimp,
H15,crimp,
H16,crimp,positive
H18,pinch,small
I4,jug,small;sloping
I5,pinch,
I6,pinch,
I7,crimp,
I8,crimp,
I9,crimp,
I10,crimp,large;positive
I11,crimp,large;sloping
I12,crimp,
I13,crimp,incut
I14,jug,positive
I15,crimp,
I16,jug,sloping
I18,sloper,sloping;large
J2,crimp,
J5,pinch,large;positive
J6,pocket,small
J7,crimp,sharp;large
J8,jug,positive;small
J9,crimp,incut
J10,pinch,small
J11,crimp,
J12,crimp,
J13,crimp,sloping;large
J14,crimp,small
J16,pinch,
K5,jug,large;sloping
K6,crimp,
K7,crimp,
K8,crimp,positive
K9,crimp,sharp;large
K10,crimp,sharp;small
K11,crimp,incut
K12,pinch,small;sharp
K13,crimp,rounded;small
K14,crimp,incut
K16,crimp,sharp;positive
K18,jug,positive
